-0.13,0.012,0.002,0.991,0.059,0.014,-0.057,0.996,0.107,-0.012,0.039,0.993,0.088,-0.002,0.069,0.994,-0.02,0.008,-0.02,0.997,0,0,0,1,0,0,0,1,0.159,0,-0.005,0.987,0,0,0,1,-0.077,0.001,0.037,0.996,0.127,0.001,-0.023,0.992,0,0,0,1,0,0,0,1,0.052,0.152,-0.586,-0.794,0.187,0.011,0.639,-0.746,-0.234,-0.165,-0.115,-0.951,0.114,-0.346,-0.164,0.917,0,0.15,0.4,-0.72,-0.5,0,0,-0.626,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.126,0.004,0.001,0.992,0.056,0.015,-0.057,0.997,0.092,-0.012,0.038,0.995,0.082,-0.004,0.071,0.994,-0.006,0.008,-0.02,0.997,0,0,0,1,0,0,0,1,0.15,0,0.002,0.989,0,0,0,1,-0.069,0.005,-0.071,0.995,0.134,-0.069,-0.053,0.987,0,0,0,1,0,0,0,1,0.046,0.141,-0.578,-0.802,0.167,0.014,0.575,-0.801,-0.277,-0.127,-0.1,-0.947,-0.206,-0.805,0.053,0.554,0,0.15,0.4,-0.72,-0.5,0,0,-0.675,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.1,-0.016,-0.002,0.995,0.034,0.015,-0.058,0.998,0.063,-0.009,0.026,0.998,0.073,-0.006,0.064,0.995,0.002,0.008,-0.02,0.999,0,0,0,1,0,0,0,1,0.114,-0.001,0.011,0.993,0,0,0,1,-0.072,0.013,-0.121,0.99,0.124,-0.015,-0.05,0.991,0,0,0,1,0,0,0,1,0.044,0.137,-0.565,-0.812,0.201,0.107,0.499,-0.836,-0.322,-0.138,-0.115,-0.93,-0.131,-0.901,0.01,0.414,0,0.15,0.4,-0.72,-0.5,0,0,-0.687,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.103,-0.013,-0.001,0.995,0.032,0.014,-0.055,0.998,0.065,-0.009,0.03,0.997,0.078,-0.006,0.063,0.995,0.006,0.009,-0.02,0.998,0,0,0,1,0,0,0,1,0.115,-0.001,0.004,0.993,0,0,0,1,-0.084,0.01,-0.095,0.992,0.124,-0.011,-0.057,0.991,0,0,0,1,0,0,0,1,0.039,0.146,-0.56,-0.814,0.195,0.109,0.465,-0.857,-0.321,-0.161,-0.13,-0.924,-0.217,-0.833,0.102,0.499,0,0.15,0.4,-0.72,-0.5,0,0,-0.659,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.104,-0.016,-0.002,0.994,0.032,0.015,-0.058,0.998,0.063,-0.009,0.028,0.998,0.08,-0.005,0.062,0.995,0.004,0.009,-0.02,0.998,0,0,0,1,0,0,0,1,0.117,-0.001,0.006,0.993,0,0,0,1,-0.075,0.008,-0.081,0.994,0.12,-0.03,-0.036,0.992,0,0,0,1,0,0,0,1,0.027,0.16,-0.571,-0.805,0.198,0.095,0.499,-0.838,-0.296,-0.132,-0.106,-0.94,-0.2,-0.842,0.08,0.494,0,0.15,0.4,-0.72,-0.5,0,0,-0.696,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.111,-0.004,0,0.994,0.041,0.014,-0.055,0.998,0.057,-0.009,0.029,0.998,0.074,-0.006,0.071,0.995,0.027,0.008,-0.02,0.998,0,0,0,1,0,0,0,1,0.124,0,0.003,0.992,0,0,0,1,-0.091,0.007,-0.081,0.993,0.122,-0.012,-0.043,0.991,0,0,0,1,0,0,0,1,0.022,0.168,-0.58,-0.797,0.224,0.107,0.544,-0.802,-0.214,-0.138,-0.097,-0.962,-0.113,-0.891,-0.036,0.438,0,0.15,0.4,-0.72,-0.5,0,0,-0.677,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.097,-0.004,0,0.995,0.029,0.014,-0.056,0.998,0.064,-0.009,0.028,0.998,0.077,-0.006,0.06,0.995,0,0.009,-0.02,0.998,0,0,0,1,0,0,0,1,0.109,-0.001,0.006,0.994,0,0,0,1,-0.092,0.009,-0.087,0.992,0.126,-0.016,-0.051,0.991,0,0,0,1,0,0,0,1,0.025,0.163,-0.58,-0.798,0.234,0.122,0.55,-0.792,-0.204,-0.125,-0.089,-0.967,-0.09,-0.88,-0.088,0.459,0,0.15,0.4,-0.72,-0.5,0,0,-0.719,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.099,-0.01,-0.001,0.995,0.036,0.014,-0.054,0.998,0.063,-0.009,0.03,0.998,0.067,-0.006,0.061,0.996,-0.002,0.009,-0.02,0.998,0,0,0,1,0,0,0,1,0.114,-0.001,0.006,0.993,0,0,0,1,-0.067,0.008,-0.091,0.994,0.126,-0.044,-0.059,0.989,0,0,0,1,0,0,0,1,0.036,0.147,-0.58,-0.801,0.223,0.115,0.543,-0.802,-0.202,-0.128,-0.09,-0.967,-0.156,-0.867,0.024,0.473,0,0.15,0.4,-0.72,-0.5,0,0,-0.709,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.096,-0.011,-0.001,0.995,0.033,0.014,-0.053,0.998,0.053,-0.009,0.031,0.998,0.077,-0.005,0.055,0.995,0.009,0.009,-0.02,0.998,0,0,0,1,0,0,0,1,0.11,-0.001,0.009,0.994,0,0,0,1,-0.056,0.004,-0.065,0.996,0.123,-0.045,-0.053,0.99,0,0,0,1,0,0,0,1,0.021,0.168,-0.578,-0.798,0.192,0.06,0.552,-0.809,-0.151,-0.126,-0.082,-0.977,-0.124,-0.858,-0.041,0.497,0,0.15,0.4,-0.72,-0.5,0,0,-0.705,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
-0.104,-0.018,-0.002,0.994,0.038,0.013,-0.05,0.998,0.066,-0.01,0.03,0.997,0.081,-0.004,0.052,0.995,0.006,0.008,-0.02,0.999,0,0,0,1,0,0,0,1,0.12,-0.002,0.013,0.993,0,0,0,1,-0.065,0,0.009,0.998,0.114,-0.001,-0.036,0.993,0,0,0,1,0,0,0,1,0.022,0.172,-0.593,-0.786,0.176,0.005,0.638,-0.75,-0.116,-0.111,-0.072,-0.984,0.153,-0.292,-0.156,0.931,0,0.15,0.4,-0.72,-0.5,0,0,-0.611,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.087,0.996,0,0,0.174,0.985,0,-0.143,0,0.99,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,0.087,0.996,0,0,-0.087,0.996,0,0,0,1,0,0,0,1,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,-0.087,0.996,0,0,0,1
